api_cost_usd,attempts,baseline_id,blind,bridge_clean_control_reason,bridge_clean_control_status,compile_status,completion_tokens,covered,effective_rounds,execution_status,expected_model_variant,failure_reason,fault_id,fault_layer,fault_triggered,final_patch,formal_table1_evidence,gradient_status,instance_id,instance_label,layer,low_hint,max_grad_norm_abs_diff,max_loss_abs_diff,max_param_update_rel_l2,model,model_binding_valid,model_id,model_name,model_variant,numerical_status,observed_model_variants,oracle,out_of_scope_edit_count,paired_adapter,paired_evidence_tier,paired_failure_reason,paired_replay_status,paired_steps,passed,patch_count,prompt_tokens,raw_report,real_llm,regression_passed,repair_at_1,repair_at_2,repair_at_4,repair_attempts,repair_round,restore_status,runner_case,runner_error,scope,strict_success,strict_success_paired,strict_success_paired_isolated,task_id,torch4ms_status,torch_status,total_tokens,update_status,validation_status,wall_time_sec,workload_fingerprint
,1,r_exec,True,,pass,,,,1,,cnn,,EX-01,,True,,True,,EX-01-A,A,execution,False,,,,,True,M1,CNN,cnn,,cnn,candidate tensor boundary type probe,,,torch4ms_bridge_training,AttributeError: 'Tensor' object has no attribute 'value',torch4ms_bridge_candidate_failed,0,True,1,,,True,True,,,,,,True,EX-01,,candidate,True,False,,,failed,ok,,,verified_restored,16.349903,558837dadb785d9bb0ceb874aea730a95f0046cfbc7c80502bdf0738b83b1257
,1,r_exec,True,,pass,,,,1,,mlp,,EX-01,,True,,True,,EX-01-B,B,execution,False,0.0,5.960464477539063e-08,0.0,,True,M2,Image MLP,mlp,,mlp,candidate tensor boundary type probe,,torch4ms_operator_training_bridge,torch4ms_bridge_training,,measured_torch4ms_bridge_replay,1,True,1,,,True,True,,,,,,True,EX-01,,candidate,True,True,,,ok,ok,,,verified_restored,7.522481,192f7c1c6597a79387e9157132a96f8d87a56f742abd17974f228ee56b4203a6
,1,r_exec,True,,pass,,,,1,,cnn,,EX-02,,True,,True,,EX-02-A,A,execution,False,1.862645149230957e-09,1.1641532182693481e-10,0.0,,True,M1,CNN,cnn,,cnn,candidate dtype-sensitive matmul probe,,torch4ms_operator_training_bridge,torch4ms_bridge_training,,measured_torch4ms_bridge_replay,1,True,1,,,True,True,,,,,,True,EX-02,,candidate,True,True,,,ok,ok,,,verified_restored,7.322812,60055617015b7b534c9105300341330988a9a795223e5f007f4579ed99fce6d6
,1,r_exec,True,,pass,,,,1,,transformer,,EX-02,,True,,True,,EX-02-B,B,execution,False,,,,,True,M3,Transformer Classifier,transformer,,transformer,candidate dtype-sensitive matmul probe,,,torch4ms_bridge_training,"TypeError: For 'MatMulExt', the type of 'x2' should be same as 'x1', but got 'x1' with type Tensor[Float32] and 'x2' with type Tensor[Float16].

----------------------------------------------------
- C++ Call Stack: (For framework developers)
----------------------------------------------------
mindspore/ops/infer/ops_func_impl//matmul_ext.cc:192 InferType
",torch4ms_bridge_candidate_failed,0,True,1,,,True,True,,,,,,True,EX-02,,candidate,True,False,,,failed,ok,,,verified_restored,6.928882,5ada85d964e5ee884873dc558d7385b82e7fae7f918c0b1f2fa4ce95927cb2d0
,1,r_exec,True,,pass,,,,1,,cnn,,EX-03,,True,,True,,EX-03-A,A,execution,False,0.0,9.313225746154785e-10,0.0,,True,M1,CNN,cnn,,cnn,candidate high-rank permutation probe,,torch4ms_operator_training_bridge,torch4ms_bridge_training,,measured_torch4ms_bridge_replay,1,True,1,,,True,True,,,,,,True,EX-03,,candidate,True,True,,,ok,ok,,,verified_restored,9.698091,54b7febc9de112b2350f32a352c7728b06028b188646eb864cb6d8219d142f13
,1,r_exec,True,,pass,,,,1,,causal_lm,,EX-03,,True,,True,,EX-03-B,B,execution,False,0.0,9.313225746154785e-10,0.0,,True,M4,Tiny Causal LM,causal_lm,,causal_lm,candidate high-rank permutation probe,,torch4ms_operator_training_bridge,torch4ms_bridge_training,,measured_torch4ms_bridge_replay,1,True,1,,,True,True,,,,,,True,EX-03,,candidate,True,True,,,ok,ok,,,verified_restored,6.844748,a399ba4791391e0b4bbde68f90faf61e5d26ab7784f9c92eec4d47ac1b05113e
,1,r_exec,True,,pass,,,,1,,mlp,,EX-04,,True,,True,,EX-04-A,A,execution,False,0.0,5.960464477539063e-08,1.1916382483698346e-07,,True,M2,Image MLP,mlp,,mlp,candidate index dtype probe,,torch4ms_operator_training_bridge,torch4ms_bridge_training,,measured_torch4ms_bridge_replay,1,True,1,,,True,True,,,,,,True,EX-04,,candidate,True,True,,,ok,ok,,,verified_restored,4.029013,615cdb78253a74a05430a6fc049e7c66f05be0a270ade12a9a52c2cb6ab92e08
,1,r_exec,True,,pass,,,,1,,transformer,,EX-04,,True,,True,,EX-04-B,B,execution,False,0.0,5.960464477539063e-08,1.1916382483698346e-07,,True,M3,Transformer Classifier,transformer,,transformer,candidate index dtype probe,,torch4ms_operator_training_bridge,torch4ms_bridge_training,,measured_torch4ms_bridge_replay,1,True,1,,,True,True,,,,,,True,EX-04,,candidate,True,True,,,ok,ok,,,verified_restored,4.3135,f5ac3428e77cf06b988448345d8664685db979c5ee7ad0ffd50ed78f73e54921
,1,r_exec,True,,pass,,,,1,,mlp,,EX-05,,True,,True,,EX-05-A,A,execution,False,0.0,0.0,0.0,,True,M2,Image MLP,mlp,,mlp,candidate input container contract probe,,torch4ms_operator_training_bridge,torch4ms_bridge_training,,measured_torch4ms_bridge_replay,1,True,1,,,True,True,,,,,,True,EX-05,,candidate,True,True,,,ok,ok,,,verified_restored,8.081848,0ed6b9f6bc9277aa2a5ec7d62580351a35a126cc0cafc3744424d15b747551aa
,1,r_exec,True,,pass,,,,1,,causal_lm,,EX-05,,True,,True,,EX-05-B,B,execution,False,0.0,0.0,0.0,,True,M4,Tiny Causal LM,causal_lm,,causal_lm,candidate input container contract probe,,torch4ms_operator_training_bridge,torch4ms_bridge_training,,measured_torch4ms_bridge_replay,1,True,1,,,True,True,,,,,,True,EX-05,,candidate,True,True,,,ok,ok,,,verified_restored,6.381818,080db4534e539eb5c08ffc269f82d72aa82f399eda02dd14884bd3832019d1a9
