baseline_id,changed,failure_reason,fault_id,instance_id,layer,model_id,strict_success,strict_success_paired,torch4ms_status
r_exec,True,AttributeError: 'Tensor' object has no attribute 'value',EX-01,EX-01-A,execution,M1,True,False,failed
r_exec,False,,EX-01,EX-01-B,execution,M2,True,True,ok
r_exec,False,,EX-02,EX-02-A,execution,M1,True,True,ok
r_exec,True,"TypeError: For 'MatMulExt', the type of 'x2' should be same as 'x1', but got 'x1' with type Tensor[Float32] and 'x2' with type Tensor[Float16].

----------------------------------------------------
- C++ Call Stack: (For framework developers)
----------------------------------------------------
mindspore/ops/infer/ops_func_impl//matmul_ext.cc:192 InferType
",EX-02,EX-02-B,execution,M3,True,False,failed
r_exec,False,,EX-03,EX-03-A,execution,M1,True,True,ok
r_exec,False,,EX-03,EX-03-B,execution,M4,True,True,ok
r_exec,False,,EX-04,EX-04-A,execution,M2,True,True,ok
r_exec,False,,EX-04,EX-04-B,execution,M3,True,True,ok
r_exec,False,,EX-05,EX-05-A,execution,M2,True,True,ok
r_exec,False,,EX-05,EX-05-B,execution,M4,True,True,ok
r_exec,False,"TypeError: expected Tensor as element 0 in argument 0, but got Tensor",EX-06,EX-06-A,execution,M3,False,False,failed
r_exec,False,"TypeError: expected Tensor as element 0 in argument 0, but got Tensor",EX-06,EX-06-B,execution,M4,False,False,failed
r_exec,False,"IndentationError: expected an indented block (mtorch.py, line 980)",EX-07,EX-07-A,execution,M1,False,False,failed
r_exec,False,"TypeError: For primitive[OneHot], the input argument[off_value] must be a type of {Tensor[Float16], Tensor[Float32], Tensor[Int32], Tensor[Int64]}, but got Tensor[BFloat16].

----------------------------------------------------
- C++ Call Stack: (For framework developers)
----------------------------------------------------
mindspore/core/utils/check_convert_utils.cc:1042 CheckTensorSubClass
",EX-07,EX-07-B,execution,M2,False,False,failed
r_exec,False,"ValueError: For 'Transpose', size of perm should equal to rank of x, but got 2 and 4!

----------------------------------------------------
- C++ Call Stack: (For framework developers)
----------------------------------------------------
mindspore/ops/view/transpose_strides_calc.cc:61 TransposeBasicTypeCalc
",EX-08,EX-08-A,execution,M1,False,False,failed
r_exec,False,"ValueError: For 'Transpose', size of perm should equal to rank of x, but got 2 and 4!

----------------------------------------------------
- C++ Call Stack: (For framework developers)
----------------------------------------------------
mindspore/ops/view/transpose_strides_calc.cc:61 TransposeBasicTypeCalc
",EX-08,EX-08-B,execution,M3,False,False,failed
r_exec,False,,EX-09,EX-09-A,execution,M1,True,True,ok
r_exec,False,,EX-09,EX-09-B,execution,M4,True,True,ok
r_exec,True,,EX-10,EX-10-A,execution,M2,True,False,ok
r_exec,True,,EX-10,EX-10-B,execution,M3,True,False,ok
r_exec,False,,NU-01,NU-01-A,numerical,M2,True,True,ok
r_exec,False,,NU-01,NU-01-B,numerical,M4,True,True,ok
r_exec,False,TypeError: unsupported operand type(s) for -: 'float' and 'NoneType',NU-02,NU-02-A,numerical,M3,False,False,failed
r_exec,False,,NU-02,NU-02-B,numerical,M4,True,True,ok
r_exec,False,"ntext', 'enable_graph_kernel' parameter is deprecated, and will be removed in the next version. Please use jit_config={'jit_level': 'O1'} instead.
INFO:torch4ms.ms_config:Initialized MindSpore with configuration: {'device_target': 'CPU', 'mode': 0, 'device_id': 0, 'enable_graph_kernel': False}
WARNING:root:Duplicate op registration for aten.reshape
WARNING:root:Duplicate op registration for aten.narrow
WARNING:root:Duplicate op registration for aten.select
WARNING:root:Duplicate op registration for aten.index_select
WARNING:root:Duplicate op registration for aten.masked_fill
WARNING:root:Duplicate op registration for aten.scatter
WARNING:root:Duplicate op registration for aten.scatter_add
[WARNING] ME(594473:129393521411904,MainProcess):2026-08-31-17:13:28.308.945 [mindspore/context.py:1334] For 'context.set_context', the parameter 'device_target' will be deprecated and removed in a future version. Please use the api mindspore.set_device() instead.
{""case"": ""NU-03"", ""model_variant"": ""mlp"", ""ok"": false, ""finite"": true, ""max_abs_diff"": 1.0624159574508667, ""expected_shape"": [1, 2, 3, 5], ""actual_shape"": [1, 2, 3, 5], ""expected_dtype"": ""torch.float32"", ""actual_dtype"": ""torch.float32""}
",NU-03,NU-03-A,numerical,M1,False,False,failed
r_exec,False,TypeError: __new__() missing 1 required positional argument: 'env',NU-03,NU-03-B,numerical,M2,False,False,failed
r_exec,False,,NU-04,NU-04-A,numerical,M1,True,True,ok
