baseline_id,instance_id,fault_id,old_strict_success,fixed60_strict_success,changed
r_exec,EX-01-A,EX-01,True,True,False
r_exec,EX-01-B,EX-01,True,True,False
r_exec,EX-02-A,EX-02,True,True,False
r_exec,EX-02-B,EX-02,True,True,False
r_exec,EX-03-A,EX-03,True,True,False
r_exec,EX-03-B,EX-03,True,True,False
r_exec,EX-04-A,EX-04,True,True,False
r_exec,EX-04-B,EX-04,True,True,False
r_exec,EX-05-A,EX-05,True,True,False
r_exec,EX-05-B,EX-05,True,True,False
r_exec,EX-06-A,EX-06,False,False,False
r_exec,EX-06-B,EX-06,False,False,False
r_exec,EX-07-A,EX-07,False,False,False
r_exec,EX-07-B,EX-07,False,False,False
r_exec,EX-08-A,EX-08,False,False,False
r_exec,EX-08-B,EX-08,False,False,False
r_exec,EX-09-A,EX-09,True,True,False
r_exec,EX-09-B,EX-09,True,True,False
r_exec,EX-10-A,EX-10,True,True,False
r_exec,EX-10-B,EX-10,True,True,False
r_exec,NU-01-A,NU-01,True,True,False
r_exec,NU-01-B,NU-01,True,True,False
r_exec,NU-02-A,NU-02,False,False,False
r_exec,NU-02-B,NU-02,True,True,False
r_exec,NU-03-A,NU-03,False,False,False
r_exec,NU-03-B,NU-03,False,False,False
r_exec,NU-04-A,NU-04,True,True,False
r_exec,NU-04-B,NU-04,True,True,False
r_exec,NU-05-A,NU-05,False,False,False
r_exec,NU-05-B,NU-05,False,False,False
r_exec,NU-06-A,NU-06,True,True,False
r_exec,NU-06-B,NU-06,True,True,False
r_exec,NU-07-A,NU-07,False,False,False
r_exec,NU-07-B,NU-07,False,False,False
r_exec,GR-01-A,GR-01,True,True,False
r_exec,GR-01-B,GR-01,True,True,False
r_exec,GR-02-A,GR-02,True,True,False
r_exec,GR-02-B,GR-02,True,True,False
r_exec,GR-03-A,GR-03,True,True,False
r_exec,GR-03-B,GR-03,True,True,False
r_exec,GR-04-A,GR-04,True,True,False
r_exec,GR-04-B,GR-04,True,True,False
r_exec,GR-05-A,GR-05,False,False,False
r_exec,GR-05-B,GR-05,False,False,False
r_exec,GR-06-A,GR-06,True,True,False
r_exec,GR-06-B,GR-06,True,True,False
r_exec,GR-07-A,GR-07,False,False,False
r_exec,GR-07-B,GR-07,False,False,False
r_exec,GR-08-A,GR-08,True,True,False
r_exec,GR-08-B,GR-08,True,True,False
r_flat,EX-01-A,EX-01,True,True,False
r_flat,EX-01-B,EX-01,True,True,False
r_flat,EX-02-A,EX-02,True,True,False
r_flat,EX-02-B,EX-02,True,True,False
r_flat,EX-03-A,EX-03,True,True,False
r_flat,EX-03-B,EX-03,True,True,False
r_flat,EX-04-A,EX-04,True,True,False
r_flat,EX-04-B,EX-04,True,True,False
r_flat,EX-05-A,EX-05,True,True,False
r_flat,EX-05-B,EX-05,True,True,False
r_flat,EX-06-A,EX-06,False,False,False
r_flat,EX-06-B,EX-06,False,False,False
r_flat,EX-07-A,EX-07,False,False,False
r_flat,EX-07-B,EX-07,False,False,False
r_flat,EX-08-A,EX-08,False,False,False
r_flat,EX-08-B,EX-08,False,False,False
r_flat,EX-09-A,EX-09,True,True,False
r_flat,EX-09-B,EX-09,True,True,False
r_flat,EX-10-A,EX-10,True,True,False
r_flat,EX-10-B,EX-10,True,True,False
r_flat,NU-01-A,NU-01,True,True,False
r_flat,NU-01-B,NU-01,True,True,False
r_flat,NU-02-A,NU-02,True,True,False
r_flat,NU-02-B,NU-02,True,True,False
r_flat,NU-03-A,NU-03,False,False,False
r_flat,NU-03-B,NU-03,False,False,False
r_flat,NU-04-A,NU-04,True,True,False
r_flat,NU-04-B,NU-04,True,True,False
r_flat,NU-05-A,NU-05,False,False,False
r_flat,NU-05-B,NU-05,False,False,False
r_flat,NU-06-A,NU-06,True,True,False
r_flat,NU-06-B,NU-06,True,True,False
r_flat,NU-07-A,NU-07,False,False,False
r_flat,NU-07-B,NU-07,False,False,False
r_flat,GR-01-A,GR-01,True,True,False
r_flat,GR-01-B,GR-01,True,True,False
r_flat,GR-02-A,GR-02,True,True,False
r_flat,GR-02-B,GR-02,True,True,False
r_flat,GR-03-A,GR-03,True,True,False
r_flat,GR-03-B,GR-03,True,True,False
r_flat,GR-04-A,GR-04,True,True,False
r_flat,GR-04-B,GR-04,True,True,False
r_flat,GR-05-A,GR-05,False,False,False
r_flat,GR-05-B,GR-05,False,False,False
r_flat,GR-06-A,GR-06,True,True,False
r_flat,GR-06-B,GR-06,True,True,False
r_flat,GR-07-A,GR-07,False,False,False
r_flat,GR-07-B,GR-07,False,False,False
r_flat,GR-08-A,GR-08,True,True,False
r_flat,GR-08-B,GR-08,True,True,False
r_hier,EX-01-A,EX-01,True,True,False
r_hier,EX-01-B,EX-01,True,True,False
r_hier,EX-02-A,EX-02,True,True,False
r_hier,EX-02-B,EX-02,True,True,False
r_hier,EX-03-A,EX-03,True,True,False
