all_fixed_probe_reference_displacement_gt_0.05,all_reference_displacement_gt_0.05,all_training_valid,batch_size,candidate_loss_peak_to_peak,config,fixed_probe_candidate_loss_displacement,fixed_probe_paired_loss_diff_peak_to_peak,fixed_probe_reference_loss_displacement,learning_rate,max_candidate_loss_peak_to_peak,max_fixed_probe_paired_loss_diff_peak_to_peak,max_fixed_probe_reference_loss_displacement,max_grad_norm_abs_diff,max_loss_abs_diff,max_paired_loss_diff_peak_to_peak,max_param_update_rel_l2,mean_reference_loss_displacement,min_fixed_probe_reference_loss_displacement,min_reference_loss_displacement,model,models,original_document_criterion_met,paired_drift_criterion_met,paired_loss_diff_peak_to_peak,reference_loss_displacement,row_type,seed,steps,training_valid
,,,4,0.049643874168395996,01_steps50_batch4_lr0.01,0.0023038387298583984,3.2186508178710938e-06,0.002306699752807617,0.01,,,,5.960464477539063e-08,2.9802322387695312e-06,,4.807672668209247e-06,,,,cnn,,,,2.9802322387695312e-06,0.029038071632385254,per_model,300,50,True
,,,4,0.0733788013458252,01_steps50_batch4_lr0.01,0.0069963932037353516,8.344650268554688e-07,0.006994962692260742,0.01,,,,1.1920928955078125e-07,1.9073486328125e-06,,3.7209256508743056e-06,,,,mlp,,,,9.5367431640625e-07,0.040494561195373535,per_model,300,50,True
,,,4,0.030150294303894043,01_steps50_batch4_lr0.01,0.005103707313537598,3.5762786865234375e-07,0.005103707313537598,0.01,,,,5.960464477539063e-08,2.384185791015625e-07,,2.25674711343645e-06,,,,transformer,,,,2.384185791015625e-07,0.002697467803955078,per_model,300,50,True
,,,4,0.20981502532958984,01_steps50_batch4_lr0.01,0.18176889419555664,7.62939453125e-06,0.18176841735839844,0.01,,,,1.1920928955078125e-07,3.814697265625e-06,,2.7654417143470533e-06,,,,tiny_causal_lm,,,,3.814697265625e-06,0.19237422943115234,per_model,300,50,True
,,,32,0.017063617706298828,02_steps50_batch32_lr0.01,0.0007432699203491211,3.5762786865234375e-07,0.0007431507110595703,0.01,,,,3.725290298461914e-08,2.384185791015625e-07,,2.104936054330947e-05,,,,cnn,,,,2.384185791015625e-07,0.004435062408447266,per_model,300,50,True
,,,32,0.02733933925628662,02_steps50_batch32_lr0.01,0.0009123086929321289,3.5762786865234375e-07,0.0009108781814575195,0.01,,,,2.9802322387695312e-08,1.6689300537109375e-06,,9.142865859039098e-06,,,,mlp,,,,4.76837158203125e-07,0.01075589656829834,per_model,300,50,True
,,,32,0.012647628784179688,02_steps50_batch32_lr0.01,0.0005120038986206055,3.5762786865234375e-07,0.0005118846893310547,0.01,,,,2.9802322387695312e-08,2.384185791015625e-07,,1.668227556594654e-05,,,,transformer,,,,2.384185791015625e-07,0.0052672624588012695,per_model,300,50,True
,,,32,0.2156963348388672,02_steps50_batch32_lr0.01,0.2029733657836914,7.62939453125e-06,0.2029743194580078,0.01,,,,1.1920928955078125e-07,3.337860107421875e-06,,2.121445653128383e-06,,,,tiny_causal_lm,,,,3.337860107421875e-06,0.2156972885131836,per_model,300,50,True
,,,32,0.019727230072021484,03_steps200_batch32_lr0.01,0.0018334388732910156,5.960464477539062e-07,0.0018333196640014648,0.01,,,,5.960464477539063e-08,3.5762786865234375e-07,,2.5654652732602742e-05,,,,cnn,,,,3.5762786865234375e-07,0.0017540454864501953,per_model,300,200,True
,,,32,0.034183621406555176,03_steps200_batch32_lr0.01,0.004325985908508301,1.0728836059570312e-06,0.004324913024902344,0.01,,,,5.960464477539063e-08,1.7881393432617188e-06,,1.0647265539109452e-05,,,,mlp,,,,1.3113021850585938e-06,0.018877267837524414,per_model,300,200,True
,,,32,0.017535805702209473,03_steps200_batch32_lr0.01,0.0012737512588500977,3.5762786865234375e-07,0.0012737512588500977,0.01,,,,5.960464477539063e-08,2.384185791015625e-07,,2.2445821336680033e-05,,,,transformer,,,,2.384185791015625e-07,0.0018731355667114258,per_model,300,200,True
,,,32,0.8266377449035645,03_steps200_batch32_lr0.01,0.7953004837036133,7.867813110351562e-06,0.7953023910522461,0.01,,,,1.7881393432617188e-07,3.814697265625e-06,,9.157131306089088e-06,,,,tiny_causal_lm,,,,3.814697265625e-06,0.7954387664794922,per_model,300,200,True
,,,32,0.014428853988647461,04_steps50_batch32_lr0.05,0.0031075477600097656,3.2186508178710938e-06,0.003107428550720215,0.05,,,,7.450580596923828e-08,2.6226043701171875e-06,,9.15238378107197e-06,,,,cnn,,,,2.6226043701171875e-06,0.004037022590637207,per_model,300,50,True
,,,32,0.04056441783905029,04_steps50_batch32_lr0.05,0.0056951045989990234,1.0728836059570312e-06,0.005693674087524414,0.05,,,,8.940696716308594e-08,1.9073486328125e-06,,5.973739868963097e-06,,,,mlp,,,,8.344650268554688e-07,0.00034427642822265625,per_model,300,50,True
,,,32,0.020493268966674805,04_steps50_batch32_lr0.05,0.0022935867309570312,3.0994415283203125e-06,0.0022934675216674805,0.05,,,,7.450580596923828e-08,2.86102294921875e-06,,1.1073751113489167e-05,,,,transformer,,,,2.86102294921875e-06,0.004784345626831055,per_model,300,50,True
,,,32,1.075545310974121,04_steps50_batch32_lr0.05,1.0075106620788574,7.62939453125e-06,1.007509469985962,0.05,,,,2.384185791015625e-07,3.814697265625e-06,,1.7864238518442252e-06,,,,tiny_causal_lm,,,,3.814697265625e-06,1.0755488872528076,per_model,300,50,True
,,,4,0.1552281379699707,05_steps200_batch4_lr0.05,0.026794075965881348,5.125999450683594e-06,0.02679610252380371,0.05,,,,4.172325134277344e-07,2.9802322387695312e-06,,8.327381907132654e-05,,,,cnn,,,,2.9802322387695312e-06,0.003986358642578125,per_model,300,200,True
,,,4,1.0751582384109497,05_steps200_batch4_lr0.05,0.4832223653793335,5.602836608886719e-06,0.48322248458862305,0.05,,,,4.76837158203125e-06,3.0994415283203125e-06,,4.807424576971546e-06,,,,mlp,,,,2.9802322387695312e-06,0.2989886999130249,per_model,300,200,True
,,,4,0.2929033041000366,05_steps200_batch4_lr0.05,0.06792068481445312,5.125999450683594e-06,0.0679178237915039,0.05,,,,2.980232238769531e-07,2.9802322387695312e-06,,1.1394492057168499e-05,,,,transformer,,,,2.9802322387695312e-06,0.010863304138183594,per_model,300,200,True
,,,4,3.270082712173462,05_steps200_batch4_lr0.05,1.8669896125793457,7.62939453125e-06,1.8669867515563965,0.05,,,,2.4437904357910156e-06,4.0531158447265625e-06,,2.9721100617872004e-05,,,,tiny_causal_lm,,,,4.0531158447265625e-06,1.7837657928466797,per_model,300,200,True
,,,4,0.1909172534942627,06_steps400_batch4_lr0.05,0.0623927116394043,5.125999450683594e-06,0.06239354610443115,0.05,,,,2.115964889526367e-06,3.0994415283203125e-06,,0.00011810141008035475,,,,cnn,,,,3.0994415283203125e-06,0.0563356876373291,per_model,300,400,True
,,,4,1.8456840515136719,06_steps400_batch4_lr0.05,0.6790812015533447,5.602836608886719e-06,0.6790799498558044,0.05,,,,4.76837158203125e-06,3.0994415283203125e-06,,5.229561571829807e-06,,,,mlp,,,,3.0994415283203125e-06,0.2455383539199829,per_model,300,400,True
,,,4,0.2929033041000366,06_steps400_batch4_lr0.05,0.06792068481445312,5.125999450683594e-06,0.0679178237915039,0.05,,,,2.980232238769531e-07,2.9802322387695312e-06,,1.1394492057168499e-05,,,,transformer,,,,2.9802322387695312e-06,0.008425354957580566,per_model,300,400,True
,,,4,3.3156731128692627,06_steps400_batch4_lr0.05,2.0217950344085693,7.62939453125e-06,2.0217928886413574,0.05,,,,2.4437904357910156e-06,4.0531158447265625e-06,,2.9721100617872004e-05,,,,tiny_causal_lm,,,,4.0531158447265625e-06,2.7411792278289795,per_model,300,400,True
,,,4,0.2666645050048828,07_steps200_batch4_lr0.10,0.050594449043273926,5.364418029785156e-06,0.05059373378753662,0.1,,,,2.5033950805664062e-06,3.0994415283203125e-06,,0.0002441551790966392,,,,cnn,,,,3.0994415283203125e-06,0.016763806343078613,per_model,300,200,True
,,,4,2.5072288513183594,07_steps200_batch4_lr0.10,0.7839009761810303,5.4836273193359375e-06,0.7839006781578064,0.1,,,,7.62939453125e-06,3.0994415283203125e-06,,4.939035990125901e-06,,,,mlp,,,,3.0994415283203125e-06,0.26119136810302734,per_model,300,200,True
,,,4,0.4327254295349121,07_steps200_batch4_lr0.10,0.12620556354522705,5.0067901611328125e-06,0.12620699405670166,0.1,,,,4.76837158203125e-07,2.9802322387695312e-06,,1.2756433320129081e-05,,,,transformer,,,,2.9802322387695312e-06,0.020799875259399414,per_model,300,200,True
,,,4,3.308961510658264,07_steps200_batch4_lr0.10,2.0147666931152344,7.3909759521484375e-06,2.0147643089294434,0.1,,,,4.172325134277344e-06,3.814697265625e-06,,3.457209666273521e-05,,,,tiny_causal_lm,,,,3.814697265625e-06,1.8443937301635742,per_model,300,200,True
False,False,True,4,,01_steps50_batch4_lr0.01,,,,0.01,0.20981502532958984,7.62939453125e-06,0.18176841735839844,,,3.814697265625e-06,,0.06615108251571655,0.002306699752807617,0.002697467803955078,,4,False,False,,,aggregate,,50,
False,False,True,32,,02_steps50_batch32_lr0.01,,,,0.01,0.2156963348388672,7.62939453125e-06,0.2029743194580078,,,3.337860107421875e-06,,0.05903887748718262,0.0005118846893310547,0.004435062408447266,,4,False,False,,,aggregate,,50,
False,False,True,32,,03_steps200_batch32_lr0.01,,,,0.01,0.8266377449035645,7.867813110351562e-06,0.7953023910522461,,,3.814697265625e-06,,0.20448580384254456,0.0012737512588500977,0.0017540454864501953,,4,False,False,,,aggregate,,200,
False,False,True,32,,04_steps50_batch32_lr0.05,,,,0.05,1.075545310974121,7.62939453125e-06,1.007509469985962,,,3.814697265625e-06,,0.27117863297462463,0.0022934675216674805,0.00034427642822265625,,4,False,False,,,aggregate,,50,
False,False,True,4,,05_steps200_batch4_lr0.05,,,,0.05,3.270082712173462,7.62939453125e-06,1.8669867515563965,,,4.0531158447265625e-06,,0.5244010388851166,0.02679610252380371,0.003986358642578125,,4,False,False,,,aggregate,,200,
True,False,True,4,,06_steps400_batch4_lr0.05,,,,0.05,3.3156731128692627,7.62939453125e-06,2.0217928886413574,,,4.0531158447265625e-06,,0.762869656085968,0.06239354610443115,0.008425354957580566,,4,False,True,,,aggregate,,400,
True,False,True,4,,07_steps200_batch4_lr0.10,,,,0.1,3.308961510658264,7.3909759521484375e-06,2.0147643089294434,,,3.814697265625e-06,,0.5357871949672699,0.05059373378753662,0.016763806343078613,,4,False,True,,,aggregate,,200,
