task_id,instance_id,baseline_id,model,expected_model_variant,observed_model_variants,model_binding_valid,fault_id,fault_layer,covered,fault_triggered,strict_success,repair_round,repair_attempts,repair_at_1,repair_at_2,repair_at_4,compile_status,execution_status,numerical_status,gradient_status,update_status,stage_status_semantics,patch_count,out_of_scope_edit_count,llm_calls,prompt_tokens,completion_tokens,total_tokens,api_cost_usd,wall_time_sec,failure_reason,final_patch,raw_report
MF-01__r_exec,MF-01,r_exec,cnn,cnn,cnn,True,ex_boundary+nu_residual,mixed,True,True,False,,4,False,False,False,pass,pass,fail,pass,pass,three_stage_strict_probe,1,0,4,6706,3412,10118,,32.230249922024086,strict_verifier_failed,experiments/experiment_request_20260820/07_experiment_G_multi_fault/results_six_methods_corrected/r_exec/candidates/MF-01__r_exec.py,experiments/experiment_request_20260820/07_experiment_G_multi_fault/results_six_methods_corrected/r_exec/raw/MF-01__r_exec.json
MF-02__r_exec,MF-02,r_exec,mlp,mlp,mlp,True,ex_dtype+gr_zero,mixed,True,True,False,,4,False,False,False,pass,fail,pass,fail,fail,three_stage_strict_probe,4,0,4,6913,29168,36081,,258.983503049938,strict_verifier_failed,experiments/experiment_request_20260820/07_experiment_G_multi_fault/results_six_methods_corrected/r_exec/candidates/MF-02__r_exec.py,experiments/experiment_request_20260820/07_experiment_G_multi_fault/results_six_methods_corrected/r_exec/raw/MF-02__r_exec.json
MF-03__r_exec,MF-03,r_exec,transformer,transformer,transformer,True,ex_index+nu_scale,mixed,True,True,False,,4,False,False,False,pass,pass,fail,pass,pass,three_stage_strict_probe,1,0,4,6751,4053,10804,,40.801062575075775,strict_verifier_failed,experiments/experiment_request_20260820/07_experiment_G_multi_fault/results_six_methods_corrected/r_exec/candidates/MF-03__r_exec.py,experiments/experiment_request_20260820/07_experiment_G_multi_fault/results_six_methods_corrected/r_exec/raw/MF-03__r_exec.json
MF-04__r_exec,MF-04,r_exec,causal_lm,causal_lm,causal_lm,True,nu_sign+gr_step,mixed,True,True,False,,4,False,False,False,pass,pass,fail,pass,pass,three_stage_strict_probe,1,0,4,6706,6877,13583,,64.53595335804857,strict_verifier_failed,experiments/experiment_request_20260820/07_experiment_G_multi_fault/results_six_methods_corrected/r_exec/candidates/MF-04__r_exec.py,experiments/experiment_request_20260820/07_experiment_G_multi_fault/results_six_methods_corrected/r_exec/raw/MF-04__r_exec.json
MF-05__r_exec,MF-05,r_exec,cnn,cnn,cnn,True,ex_boundary+gr_freeze,mixed,True,True,False,,4,False,False,False,pass,pass,pass,fail,fail,three_stage_strict_probe,1,0,4,6830,1925,8755,,19.674704695818946,strict_verifier_failed,experiments/experiment_request_20260820/07_experiment_G_multi_fault/results_six_methods_corrected/r_exec/candidates/MF-05__r_exec.py,experiments/experiment_request_20260820/07_experiment_G_multi_fault/results_six_methods_corrected/r_exec/raw/MF-05__r_exec.json
MF-06__r_exec,MF-06,r_exec,mlp,mlp,mlp,True,nu_residual+gr_zero,mixed,True,True,False,,4,False,False,False,pass,pass,fail,pass,pass,three_stage_strict_probe,1,0,4,6706,3097,9803,,30.363722479203716,strict_verifier_failed,experiments/experiment_request_20260820/07_experiment_G_multi_fault/results_six_methods_corrected/r_exec/candidates/MF-06__r_exec.py,experiments/experiment_request_20260820/07_experiment_G_multi_fault/results_six_methods_corrected/r_exec/raw/MF-06__r_exec.json
MF-07__r_exec,MF-07,r_exec,transformer,transformer,transformer,True,ex_dtype+nu_sign,mixed,True,True,False,,4,False,False,False,pass,pass,fail,pass,pass,three_stage_strict_probe,1,0,4,6722,10085,16807,,88.2303011061158,strict_verifier_failed,experiments/experiment_request_20260820/07_experiment_G_multi_fault/results_six_methods_corrected/r_exec/candidates/MF-07__r_exec.py,experiments/experiment_request_20260820/07_experiment_G_multi_fault/results_six_methods_corrected/r_exec/raw/MF-07__r_exec.json
MF-08__r_exec,MF-08,r_exec,causal_lm,causal_lm,causal_lm,True,ex_index+gr_step,mixed,True,True,True,3,3,False,False,True,pass,pass,pass,pass,pass,three_stage_strict_probe,2,0,3,5066,5576,10642,,46.385074636898935,,experiments/experiment_request_20260820/07_experiment_G_multi_fault/results_six_methods_corrected/r_exec/candidates/MF-08__r_exec.py,experiments/experiment_request_20260820/07_experiment_G_multi_fault/results_six_methods_corrected/r_exec/raw/MF-08__r_exec.json
MF-09__r_exec,MF-09,r_exec,cnn,cnn,cnn,True,nu_scale+gr_freeze,mixed,True,True,False,,4,False,False,False,pass,pass,fail,fail,fail,three_stage_strict_probe,0,0,4,6836,3065,9901,,31.463885792996734,strict_verifier_failed,experiments/experiment_request_20260820/07_experiment_G_multi_fault/results_six_methods_corrected/r_exec/candidates/MF-09__r_exec.py,experiments/experiment_request_20260820/07_experiment_G_multi_fault/results_six_methods_corrected/r_exec/raw/MF-09__r_exec.json
MF-10__r_exec,MF-10,r_exec,mlp,mlp,mlp,True,ex_boundary+nu_sign,mixed,True,True,False,,4,False,False,False,pass,pass,fail,pass,pass,three_stage_strict_probe,1,0,4,6722,2229,8951,,22.31951886182651,strict_verifier_failed,experiments/experiment_request_20260820/07_experiment_G_multi_fault/results_six_methods_corrected/r_exec/candidates/MF-10__r_exec.py,experiments/experiment_request_20260820/07_experiment_G_multi_fault/results_six_methods_corrected/r_exec/raw/MF-10__r_exec.json
MF-11__r_exec,MF-11,r_exec,transformer,transformer,transformer,True,ex_boundary+nu_residual+gr_zero,mixed,True,True,False,,4,False,False,False,pass,pass,fail,pass,pass,three_stage_strict_probe,2,0,4,6727,5392,12119,,51.120873127132654,strict_verifier_failed,experiments/experiment_request_20260820/07_experiment_G_multi_fault/results_six_methods_corrected/r_exec/candidates/MF-11__r_exec.py,experiments/experiment_request_20260820/07_experiment_G_multi_fault/results_six_methods_corrected/r_exec/raw/MF-11__r_exec.json
MF-12__r_exec,MF-12,r_exec,causal_lm,causal_lm,causal_lm,True,ex_dtype+nu_scale+gr_step,mixed,True,True,False,,4,False,False,False,pass,pass,fail,pass,pass,three_stage_strict_probe,3,0,4,6822,27273,34095,,236.9435851718299,strict_verifier_failed,experiments/experiment_request_20260820/07_experiment_G_multi_fault/results_six_methods_corrected/r_exec/candidates/MF-12__r_exec.py,experiments/experiment_request_20260820/07_experiment_G_multi_fault/results_six_methods_corrected/r_exec/raw/MF-12__r_exec.json
MF-13__r_exec,MF-13,r_exec,cnn,cnn,cnn,True,ex_index+nu_sign+gr_freeze,mixed,True,True,False,,4,False,False,False,pass,pass,fail,fail,fail,three_stage_strict_probe,1,0,4,6839,1803,8642,,19.204185246955603,strict_verifier_failed,experiments/experiment_request_20260820/07_experiment_G_multi_fault/results_six_methods_corrected/r_exec/candidates/MF-13__r_exec.py,experiments/experiment_request_20260820/07_experiment_G_multi_fault/results_six_methods_corrected/r_exec/raw/MF-13__r_exec.json
