task_id,instance_id,baseline_id,model,expected_model_variant,observed_model_variants,model_binding_valid,fault_id,fault_layer,covered,fault_triggered,strict_success,repair_round,repair_attempts,repair_at_1,repair_at_2,repair_at_4,compile_status,execution_status,numerical_status,gradient_status,update_status,stage_status_semantics,patch_count,out_of_scope_edit_count,llm_calls,prompt_tokens,completion_tokens,total_tokens,api_cost_usd,wall_time_sec,failure_reason,final_patch,raw_report
MF-01__r_flat,MF-01,r_flat,cnn,cnn,cnn,True,ex_boundary+nu_residual,mixed,True,True,False,,4,False,False,False,pass,pass,fail,fail,fail,three_stage_strict_probe,4,0,4,7299,50157,57456,,448.8039228168782,strict_verifier_failed,experiments/experiment_request_20260820/07_experiment_G_multi_fault/results_six_methods_corrected/r_flat/candidates/MF-01__r_flat.py,experiments/experiment_request_20260820/07_experiment_G_multi_fault/results_six_methods_corrected/r_flat/raw/MF-01__r_flat.json
MF-02__r_flat,MF-02,r_flat,mlp,mlp,mlp,True,ex_dtype+gr_zero,mixed,True,True,False,,4,False,False,False,pass,fail,pass,pass,pass,three_stage_strict_probe,4,0,4,7605,34591,42196,,294.71306979400106,strict_verifier_failed,experiments/experiment_request_20260820/07_experiment_G_multi_fault/results_six_methods_corrected/r_flat/candidates/MF-02__r_flat.py,experiments/experiment_request_20260820/07_experiment_G_multi_fault/results_six_methods_corrected/r_flat/raw/MF-02__r_flat.json
MF-03__r_flat,MF-03,r_flat,transformer,transformer,transformer,True,ex_index+nu_scale,mixed,True,True,False,,4,False,False,False,pass,pass,fail,fail,fail,three_stage_strict_probe,4,0,4,7399,38834,46233,,347.4308333629742,strict_verifier_failed,experiments/experiment_request_20260820/07_experiment_G_multi_fault/results_six_methods_corrected/r_flat/candidates/MF-03__r_flat.py,experiments/experiment_request_20260820/07_experiment_G_multi_fault/results_six_methods_corrected/r_flat/raw/MF-03__r_flat.json
MF-04__r_flat,MF-04,r_flat,causal_lm,causal_lm,causal_lm,True,nu_sign+gr_step,mixed,True,True,False,,4,False,False,False,pass,pass,fail,fail,fail,three_stage_strict_probe,4,0,4,7342,79448,86790,,724.6632664280478,strict_verifier_failed,experiments/experiment_request_20260820/07_experiment_G_multi_fault/results_six_methods_corrected/r_flat/candidates/MF-04__r_flat.py,experiments/experiment_request_20260820/07_experiment_G_multi_fault/results_six_methods_corrected/r_flat/raw/MF-04__r_flat.json
MF-05__r_flat,MF-05,r_flat,cnn,cnn,cnn,True,ex_boundary+gr_freeze,mixed,True,True,False,,4,False,False,False,pass,pass,pass,fail,fail,three_stage_strict_probe,4,0,4,7408,67077,74485,,606.1927049800288,strict_verifier_failed,experiments/experiment_request_20260820/07_experiment_G_multi_fault/results_six_methods_corrected/r_flat/candidates/MF-05__r_flat.py,experiments/experiment_request_20260820/07_experiment_G_multi_fault/results_six_methods_corrected/r_flat/raw/MF-05__r_flat.json
MF-06__r_flat,MF-06,r_flat,mlp,mlp,mlp,True,nu_residual+gr_zero,mixed,True,True,False,,4,False,False,False,pass,pass,fail,fail,fail,three_stage_strict_probe,4,0,4,7359,37869,45228,,355.6872028899379,strict_verifier_failed,experiments/experiment_request_20260820/07_experiment_G_multi_fault/results_six_methods_corrected/r_flat/candidates/MF-06__r_flat.py,experiments/experiment_request_20260820/07_experiment_G_multi_fault/results_six_methods_corrected/r_flat/raw/MF-06__r_flat.json
MF-07__r_flat,MF-07,r_flat,transformer,transformer,transformer,True,ex_dtype+nu_sign,mixed,True,True,False,,4,False,False,False,pass,fail,fail,pass,pass,three_stage_strict_probe,4,0,4,7492,43515,51007,,410.3171960830223,strict_verifier_failed,experiments/experiment_request_20260820/07_experiment_G_multi_fault/results_six_methods_corrected/r_flat/candidates/MF-07__r_flat.py,experiments/experiment_request_20260820/07_experiment_G_multi_fault/results_six_methods_corrected/r_flat/raw/MF-07__r_flat.json
MF-08__r_flat,MF-08,r_flat,causal_lm,causal_lm,causal_lm,True,ex_index+gr_step,mixed,True,True,True,1,1,True,True,True,pass,pass,pass,pass,pass,three_stage_strict_probe,1,0,1,1865,5165,7030,,41.5464640178252,,experiments/experiment_request_20260820/07_experiment_G_multi_fault/results_six_methods_corrected/r_flat/candidates/MF-08__r_flat.py,experiments/experiment_request_20260820/07_experiment_G_multi_fault/results_six_methods_corrected/r_flat/raw/MF-08__r_flat.json
MF-09__r_flat,MF-09,r_flat,cnn,cnn,cnn,True,nu_scale+gr_freeze,mixed,True,True,False,,4,False,False,False,pass,pass,fail,fail,fail,three_stage_strict_probe,4,0,4,7395,58797,66192,,509.84700537705794,strict_verifier_failed,experiments/experiment_request_20260820/07_experiment_G_multi_fault/results_six_methods_corrected/r_flat/candidates/MF-09__r_flat.py,experiments/experiment_request_20260820/07_experiment_G_multi_fault/results_six_methods_corrected/r_flat/raw/MF-09__r_flat.json
MF-10__r_flat,MF-10,r_flat,mlp,mlp,mlp,True,ex_boundary+nu_sign,mixed,True,True,False,,4,False,False,False,pass,pass,fail,fail,fail,three_stage_strict_probe,4,0,4,7378,64001,71379,,521.5287341088988,strict_verifier_failed,experiments/experiment_request_20260820/07_experiment_G_multi_fault/results_six_methods_corrected/r_flat/candidates/MF-10__r_flat.py,experiments/experiment_request_20260820/07_experiment_G_multi_fault/results_six_methods_corrected/r_flat/raw/MF-10__r_flat.json
