task_id,instance_id,baseline_id,model,expected_model_variant,observed_model_variants,model_binding_valid,fault_id,fault_layer,covered,fault_triggered,strict_success,repair_round,repair_attempts,repair_at_1,repair_at_2,repair_at_4,compile_status,execution_status,numerical_status,gradient_status,update_status,stage_status_semantics,patch_count,out_of_scope_edit_count,llm_calls,prompt_tokens,completion_tokens,total_tokens,api_cost_usd,wall_time_sec,failure_reason,final_patch,raw_report
MF-01__r_swe,MF-01,r_swe,cnn,cnn,cnn,True,ex_boundary+nu_residual,mixed,True,True,False,,4,False,False,False,pass,pass,fail,pass,pass,three_stage_strict_probe,1,1,4,112303,6022,118325,0.0,545.1106253031176,out_of_scope_edit,experiments/experiment_request_20260820/07_experiment_G_multi_fault/results_six_methods_corrected/r_swe/candidates/MF-01__r_swe.py,experiments/experiment_request_20260820/07_experiment_G_multi_fault/results_six_methods_corrected/r_swe/raw/MF-01__r_swe.json
MF-02__r_swe,MF-02,r_swe,mlp,mlp,mlp,True,ex_dtype+gr_zero,mixed,True,True,False,,4,False,False,False,pass,fail,pass,pass,pass,three_stage_strict_probe,3,3,4,124532,6711,131243,0.0,553.3516268371604,out_of_scope_edit,experiments/experiment_request_20260820/07_experiment_G_multi_fault/results_six_methods_corrected/r_swe/candidates/MF-02__r_swe.py,experiments/experiment_request_20260820/07_experiment_G_multi_fault/results_six_methods_corrected/r_swe/raw/MF-02__r_swe.json
MF-03__r_swe,MF-03,r_swe,transformer,transformer,transformer,True,ex_index+nu_scale,mixed,True,True,False,3,3,False,False,True,pass,pass,pass,pass,pass,three_stage_strict_probe,3,1,3,159124,7653,166777,0.0,999.6412425269373,out_of_scope_edit,experiments/experiment_request_20260820/07_experiment_G_multi_fault/results_six_methods_corrected/r_swe/candidates/MF-03__r_swe.py,experiments/experiment_request_20260820/07_experiment_G_multi_fault/results_six_methods_corrected/r_swe/raw/MF-03__r_swe.json
MF-04__r_swe,MF-04,r_swe,causal_lm,causal_lm,causal_lm,True,nu_sign+gr_step,mixed,True,True,False,3,3,False,False,True,pass,pass,pass,pass,pass,three_stage_strict_probe,2,1,3,108283,5308,113591,0.0,595.9726406622212,out_of_scope_edit,experiments/experiment_request_20260820/07_experiment_G_multi_fault/results_six_methods_corrected/r_swe/candidates/MF-04__r_swe.py,experiments/experiment_request_20260820/07_experiment_G_multi_fault/results_six_methods_corrected/r_swe/raw/MF-04__r_swe.json
MF-05__r_swe,MF-05,r_swe,cnn,cnn,cnn,True,ex_boundary+gr_freeze,mixed,True,True,False,2,2,False,True,True,pass,pass,pass,pass,pass,three_stage_strict_probe,2,3,2,94439,5020,99459,0.0,413.50570490420796,out_of_scope_edit,experiments/experiment_request_20260820/07_experiment_G_multi_fault/results_six_methods_corrected/r_swe/candidates/MF-05__r_swe.py,experiments/experiment_request_20260820/07_experiment_G_multi_fault/results_six_methods_corrected/r_swe/raw/MF-05__r_swe.json
MF-06__r_swe,MF-06,r_swe,mlp,mlp,mlp,True,nu_residual+gr_zero,mixed,True,True,True,1,1,True,True,True,pass,pass,pass,pass,pass,three_stage_strict_probe,1,0,1,39194,2247,41441,0.0,192.60932271997444,,experiments/experiment_request_20260820/07_experiment_G_multi_fault/results_six_methods_corrected/r_swe/candidates/MF-06__r_swe.py,experiments/experiment_request_20260820/07_experiment_G_multi_fault/results_six_methods_corrected/r_swe/raw/MF-06__r_swe.json
MF-07__r_swe,MF-07,r_swe,transformer,transformer,transformer,True,ex_dtype+nu_sign,mixed,True,True,False,,4,False,False,False,pass,fail,fail,pass,pass,three_stage_strict_probe,3,4,4,178881,8552,187433,0.0,779.4264372109901,out_of_scope_edit,experiments/experiment_request_20260820/07_experiment_G_multi_fault/results_six_methods_corrected/r_swe/candidates/MF-07__r_swe.py,experiments/experiment_request_20260820/07_experiment_G_multi_fault/results_six_methods_corrected/r_swe/raw/MF-07__r_swe.json
MF-08__r_swe,MF-08,r_swe,causal_lm,causal_lm,causal_lm,True,ex_index+gr_step,mixed,True,True,True,1,1,True,True,True,pass,pass,pass,pass,pass,three_stage_strict_probe,1,0,1,36412,2130,38542,0.0,159.51877627312206,,experiments/experiment_request_20260820/07_experiment_G_multi_fault/results_six_methods_corrected/r_swe/candidates/MF-08__r_swe.py,experiments/experiment_request_20260820/07_experiment_G_multi_fault/results_six_methods_corrected/r_swe/raw/MF-08__r_swe.json
MF-09__r_swe,MF-09,r_swe,cnn,cnn,cnn,True,nu_scale+gr_freeze,mixed,True,True,True,1,1,True,True,True,pass,pass,pass,pass,pass,three_stage_strict_probe,1,0,1,82629,1805,84434,0.0,115.31823895219713,,experiments/experiment_request_20260820/07_experiment_G_multi_fault/results_six_methods_corrected/r_swe/candidates/MF-09__r_swe.py,experiments/experiment_request_20260820/07_experiment_G_multi_fault/results_six_methods_corrected/r_swe/raw/MF-09__r_swe.json
MF-10__r_swe,MF-10,r_swe,mlp,mlp,mlp,True,ex_boundary+nu_sign,mixed,True,True,False,,4,False,False,False,pass,pass,fail,pass,pass,three_stage_strict_probe,3,4,4,112833,6711,119544,0.0,714.7104764338583,out_of_scope_edit,experiments/experiment_request_20260820/07_experiment_G_multi_fault/results_six_methods_corrected/r_swe/candidates/MF-10__r_swe.py,experiments/experiment_request_20260820/07_experiment_G_multi_fault/results_six_methods_corrected/r_swe/raw/MF-10__r_swe.json
