task_id,method,status,natural_initial_failure_layer,strict_success,source_sha256,initial_translation_sha256,final_candidate_sha256,core_edits_enabled,core_isolation,repository_core_unchanged,core_changed_files,initial_core_tree_sha256,final_core_tree_sha256,trace
I-01,r_hier,SUCCESS,none,True,7850d0208edfc031e19e6e7f273d9a8f432d461b3edc919fa6169d806950d0b5,4d7f98ac5b112ced4fd3889b8ace2846f62ca5f4e6a177daf613a2739dff0648,4d7f98ac5b112ced4fd3889b8ace2846f62ca5f4e6a177daf613a2739dff0648,True,per_task_method_copy,True,[],696557c9547e2bd3f80c966f71a1cd71817cd1f221363e86b2b1fd9b55bc4673,696557c9547e2bd3f80c966f71a1cd71817cd1f221363e86b2b1fd9b55bc4673,tasks/I-01/r_hier/run_trace.json
I-01,r_direct,SUCCESS,none,True,7850d0208edfc031e19e6e7f273d9a8f432d461b3edc919fa6169d806950d0b5,4d7f98ac5b112ced4fd3889b8ace2846f62ca5f4e6a177daf613a2739dff0648,4d7f98ac5b112ced4fd3889b8ace2846f62ca5f4e6a177daf613a2739dff0648,True,per_task_method_copy,True,[],696557c9547e2bd3f80c966f71a1cd71817cd1f221363e86b2b1fd9b55bc4673,696557c9547e2bd3f80c966f71a1cd71817cd1f221363e86b2b1fd9b55bc4673,tasks/I-01/r_direct/run_trace.json
I-02,r_hier,STOP_NO_PROGRESS,execution,False,10aeea6cd5cc6520f26b5f4a483b3402cb1553931c2e59548c5b7e79df45fd50,a127cae6c5201d2a35c80f8f8d0db62ae23ead7287bfe249d2745afd8f65c081,a127cae6c5201d2a35c80f8f8d0db62ae23ead7287bfe249d2745afd8f65c081,True,per_task_method_copy,True,['ops/maten.py'],696557c9547e2bd3f80c966f71a1cd71817cd1f221363e86b2b1fd9b55bc4673,312c799eae4497db372f68c50fec124cabafeab81b8d76734120d2c0262e37d7,tasks/I-02/r_hier/run_trace.json
I-02,r_direct,STOP_NO_PROGRESS,execution,False,10aeea6cd5cc6520f26b5f4a483b3402cb1553931c2e59548c5b7e79df45fd50,a127cae6c5201d2a35c80f8f8d0db62ae23ead7287bfe249d2745afd8f65c081,0ceafdc82fed1564d0bec2be65f3ebc3d40985ccc4008b116da837bd919d0964,True,per_task_method_copy,True,[],696557c9547e2bd3f80c966f71a1cd71817cd1f221363e86b2b1fd9b55bc4673,696557c9547e2bd3f80c966f71a1cd71817cd1f221363e86b2b1fd9b55bc4673,tasks/I-02/r_direct/run_trace.json
I-03,r_hier,STOP_NO_PROGRESS,execution,False,9830228f32e16d4feb314917f228005b0a9a7c22d3acb5aab0b960fdaa957820,eb78a637ea88bba847f6fe7a94cbf6d547982665d4bcf807a437a0b43ee9402a,eb78a637ea88bba847f6fe7a94cbf6d547982665d4bcf807a437a0b43ee9402a,True,per_task_method_copy,True,['ops/maten.py'],696557c9547e2bd3f80c966f71a1cd71817cd1f221363e86b2b1fd9b55bc4673,d2fe311c9cfbc3eee5ad0cdf62ed743a37526c28eb94362aa2cbf93209425e3c,tasks/I-03/r_hier/run_trace.json
I-03,r_direct,STOP_BUDGET_EXCEEDED,execution,False,9830228f32e16d4feb314917f228005b0a9a7c22d3acb5aab0b960fdaa957820,eb78a637ea88bba847f6fe7a94cbf6d547982665d4bcf807a437a0b43ee9402a,e91aa494ddaf4fab7b6445de99bf00e18eafb4a13ac330d86f4e90f0193e04c8,True,per_task_method_copy,True,[],696557c9547e2bd3f80c966f71a1cd71817cd1f221363e86b2b1fd9b55bc4673,696557c9547e2bd3f80c966f71a1cd71817cd1f221363e86b2b1fd9b55bc4673,tasks/I-03/r_direct/run_trace.json
I-04,r_hier,SUCCESS,none,True,451990bd9f4d3d6bd405288a0c136b678c7d9abfdb3fb2183fe07095651958a1,e8bcb7c6d3f8d887d1a9a4c57838ce28c28cf785107d61da126b766fce717246,e8bcb7c6d3f8d887d1a9a4c57838ce28c28cf785107d61da126b766fce717246,True,per_task_method_copy,True,[],696557c9547e2bd3f80c966f71a1cd71817cd1f221363e86b2b1fd9b55bc4673,696557c9547e2bd3f80c966f71a1cd71817cd1f221363e86b2b1fd9b55bc4673,tasks/I-04/r_hier/run_trace.json
I-04,r_direct,SUCCESS,none,True,451990bd9f4d3d6bd405288a0c136b678c7d9abfdb3fb2183fe07095651958a1,e8bcb7c6d3f8d887d1a9a4c57838ce28c28cf785107d61da126b766fce717246,e8bcb7c6d3f8d887d1a9a4c57838ce28c28cf785107d61da126b766fce717246,True,per_task_method_copy,True,[],696557c9547e2bd3f80c966f71a1cd71817cd1f221363e86b2b1fd9b55bc4673,696557c9547e2bd3f80c966f71a1cd71817cd1f221363e86b2b1fd9b55bc4673,tasks/I-04/r_direct/run_trace.json
I-05,r_hier,SUCCESS,none,True,5ab491654dfa7dd3dd7d5f4799ecc8ca464092b4d0b547087b5128f1ed84feaf,c099c04944014055c26e8271399a7399222e1ca34a3a04a1460f24bdc37715fd,c099c04944014055c26e8271399a7399222e1ca34a3a04a1460f24bdc37715fd,True,per_task_method_copy,True,[],696557c9547e2bd3f80c966f71a1cd71817cd1f221363e86b2b1fd9b55bc4673,696557c9547e2bd3f80c966f71a1cd71817cd1f221363e86b2b1fd9b55bc4673,tasks/I-05/r_hier/run_trace.json
I-05,r_direct,SUCCESS,none,True,5ab491654dfa7dd3dd7d5f4799ecc8ca464092b4d0b547087b5128f1ed84feaf,c099c04944014055c26e8271399a7399222e1ca34a3a04a1460f24bdc37715fd,c099c04944014055c26e8271399a7399222e1ca34a3a04a1460f24bdc37715fd,True,per_task_method_copy,True,[],696557c9547e2bd3f80c966f71a1cd71817cd1f221363e86b2b1fd9b55bc4673,696557c9547e2bd3f80c966f71a1cd71817cd1f221363e86b2b1fd9b55bc4673,tasks/I-05/r_direct/run_trace.json
I-06,r_hier,SUCCESS,none,True,e30fde1b551218b28549ffd8ad0d7abc8a8cdd28e358dff47759f7e942111761,b5032796d91ed95d7da0d6463cbca6490f8c4b72edd9fca65a30f3bb8f6574d3,b5032796d91ed95d7da0d6463cbca6490f8c4b72edd9fca65a30f3bb8f6574d3,True,per_task_method_copy,True,[],696557c9547e2bd3f80c966f71a1cd71817cd1f221363e86b2b1fd9b55bc4673,696557c9547e2bd3f80c966f71a1cd71817cd1f221363e86b2b1fd9b55bc4673,tasks/I-06/r_hier/run_trace.json
I-06,r_direct,SUCCESS,none,True,e30fde1b551218b28549ffd8ad0d7abc8a8cdd28e358dff47759f7e942111761,b5032796d91ed95d7da0d6463cbca6490f8c4b72edd9fca65a30f3bb8f6574d3,b5032796d91ed95d7da0d6463cbca6490f8c4b72edd9fca65a30f3bb8f6574d3,True,per_task_method_copy,True,[],696557c9547e2bd3f80c966f71a1cd71817cd1f221363e86b2b1fd9b55bc4673,696557c9547e2bd3f80c966f71a1cd71817cd1f221363e86b2b1fd9b55bc4673,tasks/I-06/r_direct/run_trace.json
I-07,r_hier,STOP_NO_PROGRESS,execution,False,f0e6cc224dc0010d4816eb3fb93087bd0b85b83d57b70fe17f9ecb998486e3ec,74d4946eb68a5cf3590432319eb71c787d29474ff3368327eac5d3e5cde73c66,74d4946eb68a5cf3590432319eb71c787d29474ff3368327eac5d3e5cde73c66,True,per_task_method_copy,True,[],696557c9547e2bd3f80c966f71a1cd71817cd1f221363e86b2b1fd9b55bc4673,696557c9547e2bd3f80c966f71a1cd71817cd1f221363e86b2b1fd9b55bc4673,tasks/I-07/r_hier/run_trace.json
I-07,r_direct,SUCCESS,execution,True,f0e6cc224dc0010d4816eb3fb93087bd0b85b83d57b70fe17f9ecb998486e3ec,74d4946eb68a5cf3590432319eb71c787d29474ff3368327eac5d3e5cde73c66,8eb1478986cff2236a8f1a797202f0a13a125ddacb503b624d4817304648ae11,True,per_task_method_copy,True,[],696557c9547e2bd3f80c966f71a1cd71817cd1f221363e86b2b1fd9b55bc4673,696557c9547e2bd3f80c966f71a1cd71817cd1f221363e86b2b1fd9b55bc4673,tasks/I-07/r_direct/run_trace.json
I-08,r_hier,STOP_NO_PROGRESS,gradient_update,False,9147733310cb4f26db4f475824fccc37e7db96bbaef62faf35e1787e2728ab9e,59df8647dfdaee2a8d4bfd78394ebcc941b5d6bf1f06c66afc94b8e45b1e59ec,59df8647dfdaee2a8d4bfd78394ebcc941b5d6bf1f06c66afc94b8e45b1e59ec,True,per_task_method_copy,True,[],696557c9547e2bd3f80c966f71a1cd71817cd1f221363e86b2b1fd9b55bc4673,696557c9547e2bd3f80c966f71a1cd71817cd1f221363e86b2b1fd9b55bc4673,tasks/I-08/r_hier/run_trace.json
I-08,r_direct,STOP_NO_PROGRESS,gradient_update,False,9147733310cb4f26db4f475824fccc37e7db96bbaef62faf35e1787e2728ab9e,59df8647dfdaee2a8d4bfd78394ebcc941b5d6bf1f06c66afc94b8e45b1e59ec,3ab4ef84a78e4bf7c30659d83003705c2096b795b9f5b42f414107633a058694,True,per_task_method_copy,True,[],696557c9547e2bd3f80c966f71a1cd71817cd1f221363e86b2b1fd9b55bc4673,696557c9547e2bd3f80c966f71a1cd71817cd1f221363e86b2b1fd9b55bc4673,tasks/I-08/r_direct/run_trace.json
I-09,r_hier,STOP_NO_PROGRESS,gradient_update,False,5cabaff96ae4151bf65caeee8eeb092e8ad4964b956eebdd7e283271d02dc9cb,aba21d3a7863db2c4fbec7f1fe8f8b000a6ef88232af3ffa9d8e4a552b3eb690,aba21d3a7863db2c4fbec7f1fe8f8b000a6ef88232af3ffa9d8e4a552b3eb690,True,per_task_method_copy,True,[],696557c9547e2bd3f80c966f71a1cd71817cd1f221363e86b2b1fd9b55bc4673,696557c9547e2bd3f80c966f71a1cd71817cd1f221363e86b2b1fd9b55bc4673,tasks/I-09/r_hier/run_trace.json
I-09,r_direct,SUCCESS,gradient_update,True,5cabaff96ae4151bf65caeee8eeb092e8ad4964b956eebdd7e283271d02dc9cb,aba21d3a7863db2c4fbec7f1fe8f8b000a6ef88232af3ffa9d8e4a552b3eb690,e4f610cbe78fa9333bd450f127217a8cb71cc847f9d9ba2c18455c00526101df,True,per_task_method_copy,True,[],696557c9547e2bd3f80c966f71a1cd71817cd1f221363e86b2b1fd9b55bc4673,696557c9547e2bd3f80c966f71a1cd71817cd1f221363e86b2b1fd9b55bc4673,tasks/I-09/r_direct/run_trace.json
