model,seed,fault,expected_signal,torch_status,torch4ms_status,torch4ms_error,torch_loss,torch4ms_loss,loss_abs_diff,loss_rel_diff,torch_grad_norm,torch4ms_grad_norm,grad_norm_abs_diff,grad_norm_rel_diff,param_update_rel_l2,param_update_cosine,exec_detected,numeric_detected,grad_detected,param_update_detected,minimal_signal_set,detected_by_expected_signal
cnn,200,execution,exec,ok,failed,ControlledExecutionFault: simulated torch4ms runtime/lowering failure,1.7832024097442627,,,,0.45475679636001587,,,,,,True,False,False,False,exec,True
cnn,200,numeric,numeric,ok,ok,,1.7832024097442627,2.5190820693969727,0.73587965965271,0.2921221458373794,0.45475679636001587,0.7825374007225037,0.3277806043624878,0.41886893081385435,1.0437587998152742,0.8344048965516297,False,True,True,True,numeric+grad+param_update,True
cnn,200,training,grad_and_param_update,ok,ok,,1.7832024097442627,1.7832024097442627,0.0,0.0,0.45475679636001587,,,,1.0,0.0,False,False,True,True,grad+param_update,True
cnn,201,execution,exec,ok,failed,ControlledExecutionFault: simulated torch4ms runtime/lowering failure,1.7855288982391357,,,,0.4551834762096405,,,,,,True,False,False,False,exec,True
cnn,201,numeric,numeric,ok,ok,,1.7855288982391357,2.5180673599243164,0.7325384616851807,0.2909129729187221,0.4551834762096405,0.7811790704727173,0.3259955942630768,0.4173122483501844,1.0428542637895282,0.8325868157666614,False,True,True,True,numeric+grad+param_update,True
cnn,201,training,grad_and_param_update,ok,ok,,1.7855288982391357,1.7855287790298462,1.1920928955078125e-07,6.676413339954555e-08,0.4551834762096405,,,,1.0,0.0,False,False,True,True,grad+param_update,True
cnn,202,execution,exec,ok,failed,ControlledExecutionFault: simulated torch4ms runtime/lowering failure,1.7859594821929932,,,,0.286240816116333,,,,,,True,False,False,False,exec,True
cnn,202,numeric,numeric,ok,ok,,1.7859594821929932,2.513058662414551,0.7270991802215576,0.2893283754558119,0.286240816116333,0.6926497220993042,0.4064089059829712,0.5867452090375702,1.6506629967859803,0.8535390358158129,False,True,True,True,numeric+grad+param_update,True
cnn,202,training,grad_and_param_update,ok,ok,,1.7859594821929932,1.7859622240066528,2.7418136596679688e-06,1.5352024935426379e-06,0.286240816116333,,,,1.0,0.0,False,False,True,True,grad+param_update,True
mlp,200,execution,exec,ok,failed,ControlledExecutionFault: simulated torch4ms runtime/lowering failure,1.6323297023773193,,,,0.7443910241127014,,,,,,True,False,False,False,exec,True
mlp,200,numeric,numeric,ok,ok,,1.6323297023773193,1.974410057067871,0.34208035469055176,0.17325699566105512,0.7443910241127014,0.8964557647705078,0.1520647406578064,0.1696288279173874,0.7320931563982656,0.7948028879666759,False,True,True,True,numeric+grad+param_update,True
mlp,200,training,grad_and_param_update,ok,ok,,1.6323297023773193,1.632328748703003,9.5367431640625e-07,5.842412320362253e-07,0.7443910241127014,,,,1.0,0.0,False,False,True,True,grad+param_update,True
mlp,201,execution,exec,ok,failed,ControlledExecutionFault: simulated torch4ms runtime/lowering failure,1.6124745607376099,,,,0.4035160541534424,,,,,,True,False,False,False,exec,True
mlp,201,numeric,numeric,ok,ok,,1.6124745607376099,1.9566428661346436,0.3441683053970337,0.1758973552884179,0.4035160541534424,0.6476453542709351,0.24412930011749268,0.3769490485920539,1.411119112243579,0.49370091096471896,False,True,True,True,numeric+grad+param_update,True
