display_label,group,initially_accepted,ladim_tokens,matchfix_tokens,savings_tokens
Task 1,group_006,True,52811,40120,-12691
Task 2,group_013,True,68989,71663,2674
Task 3,group_005,True,39218,47254,8036
Task 4,group_002,True,108564,120556,11992
Task 5,group_026,True,63961,95750,31789
Task 6,group_014,True,45119,80405,35286
Task 7,group_028,True,42421,84100,41679
Task 8,group_025,True,69653,117056,47403
Task 9,group_019,True,105973,165751,59778
Task 10,group_011,True,89352,152009,62657
Task 11,group_016,True,105161,181771,76610
Task 12,group_010,True,142899,239383,96484
Task 13,group_012,True,60346,162612,102266
Task 14,group_018,True,84048,220938,136890
Task 15,group_029,True,45667,188983,143316
Task 16,group_015,True,77663,255091,177428
Task 17,group_024,True,106975,357165,250190
Task 18,group_022,True,104498,485398,380900
Task 19,group_007,True,113355,945247,831892
Task 20,group_020,True,126840,1368438,1241598
Task 21,group_001,False,303940,173863,-130077
Task 22,group_003,False,225190,318601,93411
Task 23,group_027,False,579561,691003,111442
Task 24,group_004,False,292288,405850,113562
Task 25,group_017,False,447930,604971,157041
Task 26,group_021,False,728480,1227922,499442
Task 27,group_009,False,154880,656485,501605
Task 28,group_023,False,410797,1164853,754056
Task 29,group_008,False,362555,1474187,1111632
