threshold,fault,model,seed,first_detection_step,censor_step
0.02,none,cnn,300,n/a,50
0.02,none,cnn,301,n/a,50
0.02,none,cnn,302,n/a,50
0.02,none,mlp,300,n/a,50
0.02,none,mlp,301,n/a,50
0.02,none,mlp,302,n/a,50
0.02,none,tiny_causal_lm,300,n/a,50
0.02,none,tiny_causal_lm,301,n/a,50
0.02,none,tiny_causal_lm,302,n/a,50
0.02,none,transformer,300,n/a,50
0.02,none,transformer,301,n/a,50
0.02,none,transformer,302,n/a,50
0.02,grad_wrong,cnn,300,n/a,50
0.02,grad_wrong,cnn,301,n/a,50
0.02,grad_wrong,cnn,302,n/a,50
0.02,grad_wrong,mlp,300,n/a,50
0.02,grad_wrong,mlp,301,n/a,50
0.02,grad_wrong,mlp,302,n/a,50
0.02,grad_wrong,tiny_causal_lm,300,10.0,50
0.02,grad_wrong,tiny_causal_lm,301,11.0,50
0.02,grad_wrong,tiny_causal_lm,302,10.0,50
0.02,grad_wrong,transformer,300,n/a,50
0.02,grad_wrong,transformer,301,n/a,50
0.02,grad_wrong,transformer,302,n/a,50
0.02,param_wrong,cnn,300,n/a,50
0.02,param_wrong,cnn,301,n/a,50
0.02,param_wrong,cnn,302,n/a,50
0.02,param_wrong,mlp,300,n/a,50
0.02,param_wrong,mlp,301,n/a,50
0.02,param_wrong,mlp,302,n/a,50
0.02,param_wrong,tiny_causal_lm,300,6.0,50
0.02,param_wrong,tiny_causal_lm,301,7.0,50
0.02,param_wrong,tiny_causal_lm,302,7.0,50
0.02,param_wrong,transformer,300,n/a,50
0.02,param_wrong,transformer,301,n/a,50
0.02,param_wrong,transformer,302,20.0,50
0.01,none,cnn,300,n/a,50
0.01,none,cnn,301,n/a,50
0.01,none,cnn,302,n/a,50
0.01,none,mlp,300,n/a,50
0.01,none,mlp,301,n/a,50
0.01,none,mlp,302,n/a,50
0.01,none,tiny_causal_lm,300,n/a,50
0.01,none,tiny_causal_lm,301,n/a,50
0.01,none,tiny_causal_lm,302,n/a,50
0.01,none,transformer,300,n/a,50
0.01,none,transformer,301,n/a,50
0.01,none,transformer,302,n/a,50
0.01,grad_wrong,cnn,300,n/a,50
0.01,grad_wrong,cnn,301,25.0,50
0.01,grad_wrong,cnn,302,n/a,50
0.01,grad_wrong,mlp,300,n/a,50
0.01,grad_wrong,mlp,301,n/a,50
0.01,grad_wrong,mlp,302,n/a,50
0.01,grad_wrong,tiny_causal_lm,300,6.0,50
0.01,grad_wrong,tiny_causal_lm,301,7.0,50
0.01,grad_wrong,tiny_causal_lm,302,7.0,50
0.01,grad_wrong,transformer,300,n/a,50
0.01,grad_wrong,transformer,301,n/a,50
0.01,grad_wrong,transformer,302,20.0,50
0.01,param_wrong,cnn,300,n/a,50
0.01,param_wrong,cnn,301,n/a,50
0.01,param_wrong,cnn,302,n/a,50
0.01,param_wrong,mlp,300,n/a,50
0.01,param_wrong,mlp,301,n/a,50
0.01,param_wrong,mlp,302,48.0,50
0.01,param_wrong,tiny_causal_lm,300,3.0,50
0.01,param_wrong,tiny_causal_lm,301,4.0,50
0.01,param_wrong,tiny_causal_lm,302,4.0,50
0.01,param_wrong,transformer,300,20.0,50
0.01,param_wrong,transformer,301,35.0,50
0.01,param_wrong,transformer,302,17.0,50
0.005,none,cnn,300,n/a,50
0.005,none,cnn,301,n/a,50
0.005,none,cnn,302,n/a,50
0.005,none,mlp,300,n/a,50
0.005,none,mlp,301,n/a,50
0.005,none,mlp,302,n/a,50
0.005,none,tiny_causal_lm,300,n/a,50
0.005,none,tiny_causal_lm,301,n/a,50
0.005,none,tiny_causal_lm,302,n/a,50
