threshold,fault,runs,detected_within_50,not_detected_within_50,first_step_min_detected_only,first_step_median_detected_only,first_step_max_detected_only,mean_curve_first_crossing,step_crossings,steps
0.02,none,12,0,12,n/a,n/a,n/a,n/a,0,600
0.02,grad_wrong,12,3,9,10.0,10.0,11.0,31.0,122,600
0.02,param_wrong,12,4,8,6.0,7.0,20.0,18.0,135,600
0.01,none,12,0,12,n/a,n/a,n/a,n/a,0,600
0.01,grad_wrong,12,5,7,6.0,7.0,25.0,18.0,136,600
0.01,param_wrong,12,7,5,3.0,17.0,48.0,10.0,167,600
0.005,none,12,0,12,n/a,n/a,n/a,n/a,0,600
0.005,grad_wrong,12,12,0,3.0,17.5,37.0,9.0,195,600
0.005,param_wrong,12,8,4,3.0,10.0,42.0,6.0,204,600
0.001,none,12,0,12,n/a,n/a,n/a,n/a,0,600
0.001,grad_wrong,12,12,0,2.0,5.5,8.0,3.0,428,600
0.001,param_wrong,12,9,3,2.0,4.0,14.0,2.0,342,600
0.0001,none,12,0,12,n/a,n/a,n/a,n/a,0,600
0.0001,grad_wrong,12,12,0,2.0,2.0,2.0,2.0,568,600
0.0001,param_wrong,12,11,1,2.0,2.0,14.0,2.0,450,600
1e-05,none,12,0,12,n/a,n/a,n/a,n/a,0,600
1e-05,grad_wrong,12,12,0,2.0,2.0,2.0,2.0,585,600
1e-05,param_wrong,12,12,0,2.0,2.0,8.0,2.0,546,600
5e-06,none,12,0,12,n/a,n/a,n/a,n/a,0,600
5e-06,grad_wrong,12,12,0,2.0,2.0,2.0,2.0,587,600
5e-06,param_wrong,12,12,0,2.0,2.0,4.0,2.0,568,600
4e-06,none,12,0,12,n/a,n/a,n/a,n/a,0,600
4e-06,grad_wrong,12,12,0,2.0,2.0,2.0,2.0,587,600
4e-06,param_wrong,12,12,0,2.0,2.0,4.0,2.0,573,600
3e-06,none,12,3,9,15.0,19.0,21.0,n/a,26,600
3e-06,grad_wrong,12,12,0,2.0,2.0,2.0,2.0,587,600
3e-06,param_wrong,12,12,0,2.0,2.0,3.0,2.0,576,600
2e-06,none,12,6,6,2.0,17.0,24.0,n/a,60,600
2e-06,grad_wrong,12,12,0,2.0,2.0,2.0,2.0,587,600
2e-06,param_wrong,12,12,0,2.0,2.0,3.0,2.0,579,600
1e-06,none,12,8,4,1.0,1.0,18.0,18.0,230,600
1e-06,grad_wrong,12,12,0,1.0,2.0,2.0,2.0,593,600
1e-06,param_wrong,12,12,0,1.0,2.0,3.0,2.0,586,600
0.0,none,12,12,0,1.0,1.0,4.0,1.0,447,600
0.0,grad_wrong,12,12,0,1.0,1.0,2.0,1.0,597,600
0.0,param_wrong,12,12,0,1.0,1.0,2.0,1.0,597,600
