model,seed,grad_wrong,none,param_wrong
cnn,300,0.0,0.0,0.0
cnn,301,8.344650268554688e-07,8.344650268554688e-07,8.344650268554688e-07
cnn,302,1.1920928955078125e-07,1.1920928955078125e-07,1.1920928955078125e-07
mlp,300,1.5497207641601562e-06,1.5497207641601562e-06,1.5497207641601562e-06
mlp,301,9.5367431640625e-07,9.5367431640625e-07,9.5367431640625e-07
mlp,302,1.5497207641601562e-06,1.5497207641601562e-06,1.5497207641601562e-06
tiny_causal_lm,300,1.430511474609375e-06,1.430511474609375e-06,1.430511474609375e-06
tiny_causal_lm,301,1.9073486328125e-06,1.9073486328125e-06,1.9073486328125e-06
tiny_causal_lm,302,1.430511474609375e-06,1.430511474609375e-06,1.430511474609375e-06
transformer,300,0.0,0.0,0.0
transformer,301,0.0,0.0,0.0
transformer,302,1.1920928955078125e-07,1.1920928955078125e-07,1.1920928955078125e-07
