method,call,prompt_tokens,completion_tokens,total_tokens,cumulative_tokens,response_sha256
LaDiM,1,3216,57,3273,3273,45a3b1902d016629b6a41b40275038d185ff7a5e436f555f7c28cba62ea58c90
LaDiM,2,4032,67,4099,7372,f22448d725b626093163d8fd0733ec86af98066dfe9821e03aa05ca5d6ad1cce
LaDiM,3,5334,809,6143,13515,077f8c0adb76bbc20aa40c542f640ff38230caf44d3121b96f14e60cab6e452d
LaDiM,4,14335,356,14691,28206,9d8160ed34ec3306f0e55e405dac8287904cee67564d386f0f4b539f3691906d
LaDiM,5,20627,486,21113,49319,2546336c47d6cb70ed2fc817c467c879a7cf8374c9dbc5322f78f30cbbefd635
LaDiM,6,27269,1040,28309,77628,46e69f9049d6d8ad7025e9b9238a6e5fc6441a8a9aa1c0db5e8154503cb914fa
LaDiM,7,28734,77,28811,106439,bbd53ebc4d57d3ec554f2116e0eb33e6fc31ee3f40a1ce69868e6ba7e50f3c05
LaDiM,8,30476,4140,34616,141055,316060ea313395d44b7b607fb56ef8db359f1bad30a6b5970ea72a3a03e61945
LaDiM,9,41002,208,41210,182265,70537ec2ecf0a363abbd5373d5148c015ef287404c9aaf7bf1ae252cf693ae1d
LaDiM,10,47376,1988,49364,231629,70514ec2515d631dcb4ab43db9238dff053b52de336596e983d0b248a95740c3
LaDiM,11,51112,146,51258,282887,c4370ed2b054b8bde11b9110637e1d8fac9f7ae88324532a876b4b83a5ef367d
LaDiM,12,58859,2820,61679,344566,0913c9ee2df8fa142e13dca9c0daf4e9b7255b13b2ea7d4f6822dc20426790be
LaDiM,13,68498,354,68852,413418,b2f84471db229abae73a803634b55ea892e21b6c8bf5c0058f2a78708fa3cae8
LaDiM,14,73571,203,73774,487192,1aebacb55c154951f6e0900a3108f13bacc99ede24ed6d31f2bce66c7002a88a
LaDiM,15,76192,3956,80148,567340,8f89bd2cfdfe62dbb7f72cca9392f428e11cab28941067ac66fa77ad0421fe75
LaDiM,16,71846,5684,77530,644870,c6be7b487a3d4246b5973002fea1961a6e0b8d48b5a9a0aaa27fb96535c86280
LaDiM,17,88453,2352,90805,735675,c662bd8665d93c4dbc2fcf3ed332b66d41afdc428e4886fa9ff301bd5242b6a5
LaDiM,18,91428,1878,93306,828981,29e65bc6ac5bdc6d071c34bd46751d0340848fb3a8430609cd72ec73716da9eb
LaDiM,19,94679,210,94889,923870,dfc128bb93a99f6fb82462696ba7c5e608253daee7559662fa824ec9b14beffc
LaDiM,20,101025,180,101205,1025075,85be16058de3d1dcf488484fc41641e807978ecb5842197b53d00746b059c226
LaDiM,21,108303,575,108878,1133953,ca54f53300c1cf25647fdb3f2ba53b525da6b20929f73eefbc2d6b875d891119
LaDiM,22,116068,8977,125045,1258998,a925786552db51d92fafefcbb567894aa314f13b049ba99e390020fd27dc366e
LaDiM,23,125316,87,125403,1384401,18d80c3865f946c31b9b0bf731eb9f832507a99126b75ab9b704fab985167be9
LaDiM,24,102237,1857,104094,1488495,3e9d8ff59c650b214edd2970b681513f2735e9281bcda00debaeb8e337af6275
SWE-agent,1,3419,203,3622,3622,3ef577c1d971f9466bff30556d18caa6b29cccfb120a6e98efef2be6688c9049
SWE-agent,2,3448,120,3568,7190,d6c8085a2f3ae4c89601fe4d99dd08efc5540b566e96e5bedc2ade8f3ebb4bd2
SWE-agent,3,3764,157,3921,11111,8fa03b9187b0dbd13c516100c2253723f1eaf4269b7a8f29949dc76710d12502
SWE-agent,4,4690,137,4827,15938,e1f58f275409f0013f02c4e704c33352c2b6012a59ece2dc94bd54d9f1c72f83
SWE-agent,5,5962,198,6160,22098,0063514d060c24ea6eeff19e2b73bdd37870da0e4b74112b44c234fdc519ff53
SWE-agent,6,13209,595,13804,35902,1818ecbad00906c3315b2371892272d743f1ef1f4e716eebce1ffc7d7d7b0cda
SWE-agent,7,15747,746,16493,52395,16da5399f25573bff9d0308af2fab1439aef8feced69abdb9ff74767d0d9e914
SWE-agent,8,16721,109,16830,69225,16b5db4c8db9c38a285b2c7b303701ab5eb3f7126935339936a89fdd5b2f74ab
SWE-agent,9,17057,204,17261,86486,c0b8a6ef44bd346a3a380fdcea7c4e3b8d9c7b4a744b60d1dc0fbc051773acb0
SWE-agent,10,17655,148,17803,104289,d2fdbf2686831ccee76dc327cd6b61c68e566819295236c94291f45e2d1ad18b
SWE-agent,11,18723,194,18917,123206,b4134f857d31b133a0bebb9f442691196569c5ff28a245af2f21cb01ffaad42c
SWE-agent,12,20811,213,21024,144230,0b88e1935c01cfa5e0405fb1b92e1f138c95c2135fc4c3013f4295810c8a2e4b
SWE-agent,13,26291,437,26728,170958,9ae3504e6b2ba3855136a52f744cefd810a16a908cde9971225d80cd20c730dc
SWE-agent,14,27557,1020,28577,199535,e64acf489f59016e14b8e4348aafd83c1aada804908bc89944ad3d1e9fdebf72
SWE-agent,15,29124,780,29904,229439,46e659074f78b990902be12555d399d82e53a40b073ef37d8a263bb9a2f72e83
SWE-agent,16,30118,942,31060,260499,a48e0182e072ce23574b665f892f928611c2901db72dec0f96275a942ff8bfef
SWE-agent,17,31320,656,31976,292475,fdb36c616f9294e450fb7da6a09d49e5c7c6a3d028d5a3baef96379407b72d8b
SWE-agent,18,32167,253,32420,324895,0b59be3b3ccb106bc09c75f75146346bfd1e7a8590ef484d6278df7cf1cf52a2
SWE-agent,19,32899,826,33725,358620,eecd6010628ea2e7f45501d47077123acdf9d0ce00e83fe70eb988717d8e24c5
SWE-agent,20,34273,119,34392,393012,a1fcf1375b03c29cb9416565254661320b5becf05223d7b4cda06f8e69f9f6da
SWE-agent,21,35321,135,35456,428468,16a5f2ab7bd6eaed82f71c86e4655ab96dd5fbb5805542c8f83ad06952f2e944
SWE-agent,22,35867,115,35982,464450,77d7bbcec09137747058b80e82942f210150e21b2f1a8165847e2c5911b6a9ed
SWE-agent,23,37454,172,37626,502076,caf6773a6553b237f8864563ed1027f24345a01ba7651f6c53e477b85e05a74d
SWE-agent,24,37802,115,37917,539993,10d12a85c167b400aec5ca5ec980ff31cb1b183a6966d1cb4152cd34310757ca
SWE-agent,25,44404,155,44559,584552,56be45f416b46e93e10d5cf9ef09f9850267850cf667b65e295beb72e9483427
SWE-agent,26,52556,679,53235,637787,09780e02d2b44a12c43342742da65dbaa727b909b153e053bdb867049b7cb3fb
SWE-agent,27,53514,237,53751,691538,44409fbe9a919a2d5a20b8d33bf1a193d074fbb1d83322d3b26e263c7cdd9048
SWE-agent,28,54827,178,55005,746543,8e409ec3c6c7f71648d2a12b461e0d3f727e40c2d47a970202657d7133c80a0d
SWE-agent,29,55587,138,55725,802268,b67460d87b65d35276a8173a59b71cdf1229224a3628e99e148fa264be7779c3
SWE-agent,30,56830,872,57702,859970,010ff17092f568e993112a313652770cd889449bf9ce9276ab1d4dd624bc122e
SWE-agent,31,58088,270,58358,918328,03f0bf26e34f9af57f22173be05f7431a8f8b539b523ea6efc45282bbc952f6c
SWE-agent,32,58451,116,58567,976895,c40046589bbaf25aa3e3a0d4f0ed8cb9f625a7d592ed8fc5219ba6bb0aaf1e08
SWE-agent,33,63364,286,63650,1040545,208058810cf6423f1160e38a35b9c7dee2337fdd11aa2e20bbf819fc4b3fc91e
SWE-agent,34,74257,1298,75555,1116100,b19cc6d2cb6f61ce365f5bb058323ea6f6fec7e02d0026e6e881a346f9e138b4
SWE-agent,35,75728,645,76373,1192473,fc9b426602784c325a60bfc1f1603701ee4d555924abf99d8a217a3629968c34
SWE-agent,36,76903,536,77439,1269912,320c693f02fee5a8591a8c92d6152cf8de9e0fd4561a37c90df88f69122f8ecc
SWE-agent,37,77534,114,77648,1347560,270f3432f902994f380b1bab0563b90723cf799c5fc22a2c756a1751d4e4ee5d
SWE-agent,38,82673,1518,84191,1431751,25634aadecd1b4d472fe91684a55a51fec96575b0515708d402b886f3c3696bc
SWE-agent,39,84554,1772,86326,1518077,f319581ec2a3f3be7c44f4f7a02147eb22ad3f03f27f42dca750ecc1ac4698be
SWE-agent,40,87536,445,87981,1606058,a4f383cfc8539c11050a71ea5fad6009d331e97a9fa557ed4857a1940dc3c6c6
MatchFixAgent,1,10859,899,11758,11758,bb4b609df0b6c2368902a026429ecb3880ecec9a3078f367e7ebb36960c67470
MatchFixAgent,2,3092,1963,5055,16813,de2548a01265560883fb5fc5703eaed4462acccd28ae4b38c8bdc6ba0a6aa27e
MatchFixAgent,3,3027,3515,6542,23355,f46abe1de082ccd806fd642a9534e3be118205d0ae76f59ad2a3807d9fb8f8ee
MatchFixAgent,4,3048,961,4009,27364,b14cd86779e38394994cf76695f643a5c16c7e7c7843c4fbb887ce7599b02e2b
MatchFixAgent,5,3050,2287,5337,32701,418af9105e7883c37954e8ec96ae171b05bd34e2dcc6e0fd10a6d20cb3ea7afa
MatchFixAgent,6,6441,95,6536,39237,d6b8189f82ed5b15037207e5e200367900db05e0f3f600fffcae60d3bbe8122e
MatchFixAgent,7,7867,90,7957,47194,54e8424a3de916b621989a47869d78d66740e831746e17746a4be1bd5fafa0c7
MatchFixAgent,8,8620,107,8727,55921,7838fa06b2c5b9a50c479fdf74988ac095dfe126cb67c1eecec542dc1248a421
MatchFixAgent,9,16735,138,16873,72794,dd5bace7f2507c0a2093b0dd2647fabe45d34f546ab33d304ff29e7b94d388fe
MatchFixAgent,10,21073,204,21277,94071,ea6bd65139f4a7514d9b3f70b13ebd2878da353c0311704a6441023e539516e7
MatchFixAgent,11,28278,704,28982,123053,e1a70ee1674e340e956a7aa502703214ffdcf9f4d3a2f7b1917cf23631c91d8d
MatchFixAgent,12,31641,162,31803,154856,811211f176f5ef51ea0d003119d5a36fa863d619afa9834ac96e19e867f4695b
MatchFixAgent,13,33374,82,33456,188312,1e92e0dfd80148666cefdf558449cbdaf1ade5ad1dedd70e7ef8fe462690d387
MatchFixAgent,14,38145,481,38626,226938,e7aa8238fde5a223bb6c23b3987bd831cdf1ae9ebc5ab5b6836049c2999d3b37
MatchFixAgent,15,40482,521,41003,267941,e04ebf41f0b833ed6711134801edb4a49ba7f34f5c0abc37397b42fe34cd4649
MatchFixAgent,16,46189,483,46672,314613,c7606c6084d8caf0aff6f34713c74448d6795d0a36b7609380c92e5ea4059e1a
MatchFixAgent,17,50936,2160,53096,367709,8efeb0f5cb7a7708fa9e6705a08f86ca70c5805c36ee79f2f72b9b52e6250c95
MatchFixAgent,18,53675,119,53794,421503,a60e46efa1ca9f969abf539c6798dd18478f17c839bea25685253b03bf0f3b9a
MatchFixAgent,19,54769,1486,56255,477758,effc826fa5c6298aa850f94c57992b0fd59b6bb04ec2b7e255f1cf887f70dbc1
MatchFixAgent,20,57362,45,57407,535165,450fcffdcda47d83ac78acc54333854aa5dcaf15f2e962880c9d3d3bb2115b8e
MatchFixAgent,21,58568,854,59422,594587,d9657d47898f28b825d2a17e2f7998d7c92b562209f96ef89688e06b3bb394ec
MatchFixAgent,22,61542,1560,63102,657689,0daffcebbf78e632382e6301c9e45c3511619db391eb7a657b8cd0440ab30709
MatchFixAgent,23,63567,46,63613,721302,244abee1a2f6f3ace9869475dd7c90086972950d094a20da4f81b6496541139b
MatchFixAgent,24,64367,725,65092,786394,ff0fa4d486838fcc749bb37e0d1cb49ae42546461a63d7b3ebc9cfe48f302b67
MatchFixAgent,25,66247,449,66696,853090,9bbe154df02ab6fcae55b266c879a9d0669924ebf13d6a90b67a1bcaa9b6c943
MatchFixAgent,26,68748,381,69129,922219,22bc8b2a611a7508e8f70dd15c4c62da5bf6c267d7d9b6d23956ffd72714fbb9
MatchFixAgent,27,69677,627,70304,992523,c43975d305c1858e51e68003118110771e3aa9492fe1f20c79353c118eebbe64
MatchFixAgent,28,74259,172,74431,1066954,4058ec81c0c37be94c511647a30099366b407c66d0990404b413de5655aa041f
MatchFixAgent,29,74870,248,75118,1142072,d0c074fbca5aaafec92120f98fb8069fa135c3d3a2de25846e241ff70a97f85c
MatchFixAgent,30,82835,626,83461,1225533,80e2c5fd6e79d9aec416354694aadbbcb766650bf42b551cddc08c984642cb3a
MatchFixAgent,31,83586,146,83732,1309265,0f92280253bba9590a21df56efcadb237e19efbd780efa3ccf471bee5a43e194
MatchFixAgent,32,94893,144,95037,1404302,9e028ab836418ee2932ca91baa07ee982ec566a15477a71e1e2ce5c26c33a7bf
MatchFixAgent,33,95164,77,95241,1499543,8efd579b00409fe6fa55ea91accd9798d76428dbdf1e99dab925eafb79d2f9d3
MatchFixAgent,34,101475,513,101988,1601531,5449035bd4fc6ff5633459dede00ec05f91325c422621b50cda547ee0fa2c85a
MatchFixAgent,35,102159,145,102304,1703835,0a5a1d19cec985839474bbc05784eb7142bd5f94509e5209e00500b2925303a2
MatchFixAgent,36,113622,1166,114788,1818623,8c2c9d837aaba406502eb596709cba9c16f9de8dafd8af1e466503e5be7362b4
MatchFixAgent,37,123039,777,123816,1942439,38b01bbe28a1875e85c78268546f3e670def3fd5c2bcf27dbc5705e319c1dcd9
MatchFixAgent,38,129504,350,129854,2072293,39f613a1f192054502a10bfae9e145ceeaa06717ff9df3a31faac4e68a6d9806
MatchFixAgent,39,130890,128,131018,2203311,100a269a80d3141f2366f034abe3049226a65a94473f92da01ab986142e9cad1
MatchFixAgent,40,134790,2507,137297,2340608,c64231b8ace652b6360747410598e5c1ebf8fdde3f39fbe8926c6c238c6da34d
