study,variant,complete,completed,planned,accepted,actual_faults_repaired,healthy_retained,selected_known_tokens,all_attempts_unknown_usage_calls
fixed50_v3,continuous_role,True,50,50,44,44,0,39240448,24
fixed50_v3,without_repair_history,True,50,50,37,37,0,31876546,24
fixed50_v3,without_progress_prompt,True,50,50,46,46,0,45137525,24
fixed50_v3,without_edit_format_feedback,True,50,50,45,45,0,39982844,23
natural10_v3,continuous_role,True,10,10,8,3,5,14516463,0
natural10_v3,without_repair_history,True,10,10,5,0,5,10851537,1
natural10_v3,without_progress_prompt,True,10,10,7,2,5,17325026,0
natural10_v3,without_edit_format_feedback,True,10,10,9,4,5,13206863,1
signal12_v3,execution,True,12,12,8,8,0,2863858,3
signal12_v3,execution_forward,True,12,12,12,12,0,4902235,4
signal12_v3,all_observations,True,12,12,12,12,0,3427626,4
