benchmark,version,method,accepted,planned,accepted_at_1,accepted_at_2,accepted_at_4,actual_faults_repaired,initially_failed,healthy_retained,initially_healthy,selected_tokens,selected_calls,all_attempts_known_tokens,all_attempts_unknown_usage_calls
Fixed50,formal_v3,autonomous_layered,42,50,26,39,42,42,50,0,0,47118599,1086,49558761,7
Fixed50,formal_v3,autonomous_layered_native,42,50,24,36,42,42,50,0,0,54399400,1131,55133490,7
Fixed50,formal_v3,autonomous_category_ablation,46,50,28,45,46,46,50,0,0,35113105,966,35189373,7
Fixed50,formal_v3,swe_native_isolated,29,50,28,29,29,29,50,0,0,42579064,1931,42580961,7
Fixed50,formal_v3,direct_shared_tools,35,50,24,31,35,35,50,0,0,12459013,623,12626657,7
Fixed50,progress_v4,autonomous_layered,41,50,30,41,41,41,50,0,0,38028388,1013,38028388,0
Fixed50,progress_v4,autonomous_layered_native,44,50,26,38,44,44,50,0,0,48401669,1081,48401669,0
Fixed50,repair_window_v5,autonomous_layered_native,43,50,43,43,43,43,50,0,0,55206180,1251,55322995,1
Fixed50,productive_v6,autonomous_layered,45,50,36,42,45,45,50,0,0,36999686,952,39896716,24
Fixed50,productive_v7,autonomous_layered,44,50,32,39,44,44,50,0,0,36713388,992,37607451,28
Natural10,formal_v3,autonomous_layered,8,10,5,5,8,3,5,5,5,20274687,226,20274687,0
Natural10,formal_v3,autonomous_layered_native,7,10,5,5,7,2,5,5,5,19215904,230,19215904,0
Natural10,formal_v3,autonomous_category_ablation,8,10,5,6,8,3,5,5,5,16069128,219,16069128,0
Natural10,formal_v3,swe_native_isolated,5,10,5,5,5,0,5,5,5,12678285,386,12678285,0
Natural10,formal_v3,direct_shared_tools,5,10,5,5,5,0,5,5,5,3751123,120,3751123,0
Natural10,formal_v3,matchfix_full_orchestration,5,10,5,5,5,0,5,5,5,14351140,265,14351140,0
Natural10,progress_v4,autonomous_layered,9,10,5,5,9,4,5,5,5,15547813,213,15547813,0
Natural10,progress_v4,autonomous_layered_native,8,10,5,6,8,3,5,5,5,14054456,203,14054456,0
Natural10,repair_window_v5,autonomous_layered_native,6,10,6,6,6,1,5,5,5,17698385,229,17698385,0
Natural10,productive_v6,autonomous_layered,9,10,5,6,9,4,5,5,5,13364560,197,13364560,0
Natural10,productive_v7,autonomous_layered,7,10,5,6,7,2,5,5,5,14528758,205,18421348,2
